Duplicate File Name,Folders Found In,,
288621433.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
326510872.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
322792778.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
345434421.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
490750688.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
561966822.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
562108034.pdf,SoFAIR_AD_Chemistry_papers,SoFAIR_AD_BioChem_papers,
491246214.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
457670472.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BioChem_papers,
548788211.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BioChem_papers,
334803058.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
592039787.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BioChem_papers,
482464847.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
288350572.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
275571442.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
389671904.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
543607585.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BioChem_papers,
562184426.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
572839004.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
565550787.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BioChem_papers,
211233527.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
442655572.pdf,SoFAIR_AD_Comp_Sci_papers,SoFAIR_AD_BMA_papers,
